# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     55.13     -53.73       0.00       0.00       0.78       ----    1.023  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/3zpq_m1/gold_soln_3zpq_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_3zpq.pdb L_3zpq.pdb 1'
     52.32     -49.47       0.00       0.00       0.23       ----    4.933  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/6h7j_m1/gold_soln_6h7j_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7j.pdb L_6h7j.pdb 1'
     55.42     -53.96       0.00       0.00       0.93       ----    6.719  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/6h7m_m1/gold_soln_6h7m_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7m.pdb L_6h7m.pdb 1'
     81.04     -77.82       0.00       0.00       1.66       ----   11.051  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/2y02_m1/gold_soln_2y02_m1_5.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_2y02.pdb L_2y02.pdb 1'
     60.42     -57.09       0.00       0.00       1.43       ----   11.530  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/4bvn_m1/gold_soln_4bvn_m1_4.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_4bvn.pdb L_4bvn.pdb 1'
     62.86     -61.34       0.00       0.00       0.77       ----   62.441  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/5a8e_m1/gold_soln_5a8e_m1_22.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_5a8e.pdb L_5a8e.pdb 1'
     72.37     -70.60       0.00       0.00       0.69       ----   340.963  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/2y00_m1/gold_soln_2y00_m1_32.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\2y00 2y00 1'
     75.24     -73.35       0.00       0.00       0.64       ----    8.520  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/6ibl_m1/gold_soln_6ibl_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6ibl.pdb L_6ibl.pdb 1'
     91.60     -91.03       0.00       0.00       1.65       ----   410.696  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/4amj_m1/gold_soln_4amj_m1_45.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_4amj.pdb L_4amj.pdb 1'
     73.85     -70.25       0.00       0.00       1.28       ----   1903.767  '/home/mateusz/Kasia/zajecia/dokowanie-karolina/GoldOut_beta1_1000rns/6h7n_m1/gold_soln_6h7n_m1_607.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7n.pdb L_6h7n.pdb 1'
