# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     69.35     -70.06       0.00       0.00       0.00       0.00       0.41       0.11   57.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\2y00_m1\gold_soln_2y00_m1_12.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\2y00 2y00 1'
     79.27     -74.94       2.00       0.00       0.00       0.00       1.26       0.36   30.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\2y02_m1\gold_soln_2y02_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_2y02.pdb L_2y02.pdb 1'
     56.26     -55.23       1.00       0.00       0.00       0.00       1.84       1.72   18.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\3zpq_m1\gold_soln_3zpq_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_3zpq.pdb L_3zpq.pdb 1'
     91.15     -91.33       1.00       0.00       0.00       1.04       1.74       1.09   649.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\4amj_m1\gold_soln_4amj_m1_26.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_4amj.pdb L_4amj.pdb 1'
     68.06     -65.84       1.00       0.00       0.00       0.00       0.40       0.02   101.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\4bvn_m1\gold_soln_4bvn_m1_28.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_4bvn.pdb L_4bvn.pdb 1'
     61.82     -61.22       0.74       0.00       0.00       0.00       0.85       0.08   158.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\5a8e_m1\gold_soln_5a8e_m1_39.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_5a8e.pdb L_5a8e.pdb 1'
     53.27     -50.43       1.00       0.00       0.00       0.00       0.09       0.01   12.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\6h7j_m1\gold_soln_6h7j_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7j.pdb L_6h7j.pdb 1'
     57.76     -55.71       1.00       0.00       0.00       0.00       0.55       0.05   11.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\6h7m_m1\gold_soln_6h7m_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7m.pdb L_6h7m.pdb 1'
     74.91     -69.94       2.98       0.00       0.00       0.00       2.45       0.93   192.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\6h7n_m1\gold_soln_6h7n_m1_6.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7n.pdb L_6h7n.pdb 1'
     73.75     -73.05       1.00       0.00       0.00       0.00       1.57       0.85   29.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_flex\6ibl_m1\gold_soln_6ibl_m1_5.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6ibl.pdb L_6ibl.pdb 1'
