# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score         DG    S(hbond)    S(metal)    S(lipo)     H(rot)  DE(clash)    DE(int)     intcor     time                               File name                Ligand name

     40.66     -42.25       2.90        0.00     280.74       2.25       0.08       1.50       0.02   55.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\2rh1_m1\gold_soln_2rh1_m1_13.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_2rh1.pdb L_2rh1.pdb 1'
     22.91     -24.23       2.90        0.00     138.83       2.80       0.12       1.21       0.47   28.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\3d4s_m1\gold_soln_3d4s_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3d4s.pdb L_3d4s.pdb 1'
     33.76     -34.95       1.99        0.00     238.27       1.98       0.13       1.06       0.09   23.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\3ny8_m1\gold_soln_3ny8_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3ny8.pdb L_3ny8.pdb 1'
     36.30     -38.33       3.15        0.00     248.93       2.66       0.93       1.10       0.05   581.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\3ny9_m1\gold_soln_3ny9_m1_43.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3ny9.pdb L_3ny9.pdb 1'
     36.30     -36.93       2.98        0.00     232.53       2.22       0.04       0.59       0.05   150.999  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\3nya_m1\gold_soln_3nya_m1_6.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3nya.pdb L_3nya.pdb 1'
     38.45     -41.82       4.18        0.00     258.67       3.08       1.55       1.82       0.21   585.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\4lde_m1\gold_soln_4lde_m1_93.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4lde.pdb L_4lde.pdb 1'
     31.45     -32.36       2.91        0.00     241.48       4.33       0.07       0.84       0.18   639.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\4ldl_m1\gold_soln_4ldl_m1_33.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4ldl.pdb L_4ldl.pdb 1'
     26.44     -26.73       3.72        0.00     148.12       3.32       0.22       0.06       0.00   14.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\4ldo_m1\gold_soln_4ldo_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4ldo.pdb L_4ldo.pdb 1'
     33.26     -35.73       2.28        0.00     290.84       4.45       0.64       1.83       0.25   894.999  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\4qkx_m1\gold_soln_4qkx_m1_68.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4qkx.pdb L_4qkx.pdb 1'
     42.91     -46.85       3.00        0.00     369.74       4.65       1.76       2.18       0.48   1383.001  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_ChemScore\6mxt_m1\gold_soln_6mxt_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_6mxt.pdb L_6mxt.pdb 1'
