# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     85.21     -78.58       2.79       0.00       0.00       0.00       0.96       0.08   65.001  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\2rh1_m1\gold_soln_2rh1_m1_38.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_2rh1.pdb L_2rh1.pdb 1'
     73.93     -66.34       3.00       0.00       0.00       0.00       1.00       0.11   30.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\3d4s_m1\gold_soln_3d4s_m1_6.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3d4s.pdb L_3d4s.pdb 1'
     66.60     -63.01       2.00       0.00       0.00       0.00       1.25       0.09   64.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\3ny8_m1\gold_soln_3ny8_m1_56.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3ny8.pdb L_3ny8.pdb 1'
     68.77     -70.56       0.01       0.00       0.00       0.00       1.42       0.93    8.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\3ny9_m1\gold_soln_3ny9_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3ny9.pdb L_3ny9.pdb 1'
     73.79     -70.79       1.82       0.00       0.00       0.00       1.37       0.26   65.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\3nya_m1\gold_soln_3nya_m1_51.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3nya.pdb L_3nya.pdb 1'
     80.31     -74.75       2.90       0.00       0.00       1.57       1.02       0.50   23.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\4lde_m1\gold_soln_4lde_m1_37.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4lde.pdb L_4lde.pdb 1'
     74.64     -67.79       2.85       0.00       0.00       0.00       1.01       0.31   83.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\4ldl_m1\gold_soln_4ldl_m1_82.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4ldl.pdb L_4ldl.pdb 1'
     48.65     -38.57       3.53       0.00       0.00       0.00       0.26       0.00   10.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\4ldo_m1\gold_soln_4ldo_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4ldo.pdb L_4ldo.pdb 1'
     80.38     -77.07       2.00       0.00       0.00       3.16       2.01       4.49   107.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\4qkx_m1\gold_soln_4qkx_m1_50.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4qkx.pdb L_4qkx.pdb 1'
     97.41     -97.03       2.46       0.00       0.00       2.38       2.98       1.36   150.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA10\6mxt_m1\gold_soln_6mxt_m1_55.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_6mxt.pdb L_6mxt.pdb 1'
